video,prompt
WEB360_100001.mp4,"an aerial view of a city at night, the city including buildings, lights, a parking lot and a street."
WEB360_100002.mp4,"a night view of a city with a large building and a clock tower, the building and the tower have lights on them"
WEB360_100003.mp4,"an aerial and panoramic view of a city from a plane, the city including a mosque, a large building, and tall buildings."
WEB360_100004.mp4,"an aerial view of a city with a clock tower, the city also includes tall buildings."
WEB360_100005.mp4,a group of people sitting on the floor of a building.
WEB360_100006.mp4,an aerial view of a city with tall buildings and a mosque.
WEB360_100007.mp4,"an aerial view of a city at night, the city including an airport"
WEB360_100008.mp4,"a panoramic aerial view of a dirt field with a sky background, including a dirt road and trees."
WEB360_100009.mp4,"a panoramic view of a field and desert at sunset, with the sun setting in the middle and a sky in the background."
WEB360_100010.mp4,"a panoramic aerial view of a field with a river running through it, the field surrounded by a forest"
WEB360_100011.mp4,a panoramic view of a large open field with a river running through it.
WEB360_100012.mp4,"a panoramic aerial view of a colorful landscape, the landscape includes a lake surrounded by a mountain range, with clouds in the sky."
WEB360_100013.mp4,"a panoramic aerial view of a river with steam coming out of it in the middle of a field, including a mountain in the background and a body of water."
WEB360_100014.mp4,"a panoramic view of a large body of water, likely a river, running through a wide open field, the scene is surrounded by mountains."
WEB360_100015.mp4,a large body of water surrounded by mountains and a lush green field
WEB360_100016.mp4,an aerial view of a wide open field transitioning into a desert with a mountain in the background and a river running through it.
WEB360_100017.mp4,"an aerial view of a field surrounded by a mountain range, including a lake in the foreground and mountains in the background."
WEB360_100018.mp4,"a panoramic aerial view of a city with tall buildings, a river, a bridge and a building"
WEB360_100019.mp4,an aerial and panoramic view of a city at night
WEB360_100020.mp4,"a panoramic view at sunset, featuring a large building with a clock tower, surrounded by parking lots, trees, and a waterway."
WEB360_100021.mp4,"a panoramic aerial view of a city with a tall tower and a park, as seen from a plane"
WEB360_100022.mp4,"a fireworks display over a blurry city at night, visible from an aerial view."
WEB360_100023.mp4,"a view of a city at night from the top of a building, the city is blurry with a parking lot filled with lots of parked cars and a busy street."
WEB360_100024.mp4,"a panoramic and aerial view of a city at sunset, the city having tall buildings and snow on the ground."
WEB360_100025.mp4,"a panoramic aerial view of a city in winter, the city including a church, a river, and tall buildings."
WEB360_100026.mp4,"an aerial view of a city with a river running through it, the river including a boat and boats."
WEB360_100027.mp4,"a large fountain in a city park where the sun shines brightly, with people standing around and a bridge in the background, the scene also includes people walking down a street next to a tall building."
WEB360_100028.mp4,"an aerial and panoramic view of a large city with a green-roofed building, a river, and a bridge."
